word,translation,phonetic,mastered,sentences
"folklore","NOUN. 民俗學，民間傳説，民俗，民間文學藝術，民間文學，民間故事，傳説","/ˈfəʊklɔː(r)/","✗","A selection of longer items of hacker folklore and humor is included in Appendix A, Hacker Folklore.;It's a piece of old folklore for which I would love to find hard proof.;Cf. Sandman, a mythical character in European folklore who puts people to sleep and encourages and inspires beautiful dreams by sprinkling magical sand onto their eyes."
"grant","NOUN. 格蘭特，補助金，批予，批出，撥款，批，授權 VERB. 授予，給予，批准","/ɡrɑːnt/","✗","God, grant me the serenity[…];the grant of permission for a project;I got a grant from the government to study archeology in Egypt."
"incognito","NOUN. 隱姓埋名，隱身","/ˌɪnkɒɡˈniːtəʊ/","✗","His keynote speech was delivered on his arrival, incognito, in al-Kufah, which at the time was a focus of Khariji dissidence.;1864,, William Stephens Hayward, Revelations of a Lady Detective, short story ""Incognito"", George Vickers, Strand
I pulled the check-string, and gave him [the coachdriver] his instructions.;But we would submit that it is going much too far to claim that all secularization arises from biblical influences—albethey indirect or incognito in many cases."
"interdependent","ADJ. 相互依存，相互依賴，互相依存，依存，相互關聯","/ˌɪntədɪˈpendənt/","✗","All life on our planet exists only because we are enmeshed within a complex web of interdependent ecological and social systems.;In the United States, trans-metropolitan areas are referred to as megapolitans, large urban regions with physically interconnected metropolitan and micropolitan areas through transportation networks, constituting a functionally interdependent urban network[…].;The interaction of discourses is dynamic, interdependent, ""interanimate,"" and ""interilluminating."""
"ladybug","NOUN. 瓢蟲","/lˈe‍ɪdɪbˌʌɡ/","✗","It was seldom that Mrs. Ladybug hesitated to speak her mind right out to a person if she happened to disapprove of him.;Master class for children - ladybug To create God's cows, we will need the following materials: Cardboard sheet.;Beautifully ladybug will look at a leaflet of green paper."
"leverage","NOUN. 槓桿，槓桿率，槓桿比率，籌碼，影響力，負債 VERB. 利用","/ˈliːvərɪdʒ/","✗","A crowbar uses leverage to pry nails out of wood.;Try using competitors’ prices for leverage in the negotiation.;Leverage is great until something goes wrong with your investments and you still have to pay your debts."
"liability","NOUN. 責任，負債，賠償責任，歸責，債務，義務","/ˌlaɪəˈbɪləti/","✓","For example, a no liability company must include in its name the words “No Liability” or its abbreviation “NL” as a warning to persons dealing with such a company.;You're a bloody liability sometimes!;Coordinate term: liability"
"markup","NOUN. 標記，漲價，加價，增高","/ˈmɑːkʌp/","✗","You don’t make much money selling gas because the markup is so low.;There will be a markup on those products next week; better buy them now.;For example, a filename of “home.html” would be appropriate for an ASCII/text file containing HTML markup."
"mascara","NOUN. 睫毛膏，睫毛","/mæˈskɑːrə/","✗","apply mascara;put on mascara;mascara runs"
"pessimistic","ADJ. 悲觀，持悲觀，悲觀厭世，悲觀主義，悲觀主義者","/ˌpesɪˈmɪstɪk/","✗","a pessimistic view of the future;a pessimistic estimate;pessimistic concurrency; pessimistic locking"
"portal","NOUN. 門户，門户網站，入口，洞口 ADJ. 門，後門","/ˈpɔːtl/","✗","The local library, a portal of knowledge.;The new medical portal has dozens of topical categories containing links to hundreds of sites.;the portal vein"
"quorum","NOUN. 法定人數，仲裁","/ˈkwɔːrəm/","✗","We can discuss the issue tonight, but cannot vote until we have a quorum.;If one is praying without a minyan (quorum), he should not say Hashem, Hashem in the manner of supplication but rather should read it in a cantillatory style.;In addition, some roseobacters have been shown to utilize other signaling molecules apart from AHLs in quorum sensing, i.e. tropodithietic acid (TDA) (Geng and Belas 2010a)."
"safari","NOUN. 狩獵，野生動物，探險","/səˈfɑːri/","✗","We're going on a safari in Kenya.;An ardent junker herself, Mrs. Egge tells how to conduct a fascinating junk safari into the attic or antique and secondhand shops and what to do with the trophies you bring home.;Come on, boy, move that body/ 'Cause tonight I'm naughty, naughty/ Dance with me like it's my party/ We go wild, we're in safari"
"scenario","NOUN. 場景，情景，方案，情形，情況下，情境，劇情，情節，局面","/səˈnɑːriəʊ/","✓","Hearts were keen to avoid a repeat of the scenario at this stage of last season's competition, when they found themselves two goals down inside the opening quarter of an hour.;Warnock admitted it would be the ideal scenario if he received a Carling Cup winners' medal as well as an England call-up[…].;In this scenario, the growth rates are higher for the economic tigers than for the other economies."
"sphinx","NOUN. 獅身人面像，斯芬克斯","/sfɪŋks/","✗","The secret of Man's Being is still like the Sphinx's secret: a riddle that he cannot rede.;Some consider the defacement of the Sphinx to be the most egregious crime of Napolean's campaigns.;Sara, oh Sara / Scorpio Sphinx in a calico dress"
"submission","NOUN. 提交，投稿，呈交，遞交，意見書，陳詞，屈服，順從，服從","/səbˈmɪʃn/","✗","The Baronies appear to have been formed successively on the submission of the Irish chiefs... the territory of each constituting a barony.;The most usuall way to appease those minds we have offended […] is, by submission to move them to commiseration and pitty.;Ovid might have evaded her entreaties by means of an excuse. But her eyes were irresistible: they looked him into submission in an instant."
"subsequent","ADJ. 後續，隨後，其後，後繼，後來，以後，接下來，後面，日後","/ˈsʌbsɪkwənt/","✓","Growth was dampened by a softening of the global economy in 2001, but picked up in the subsequent years due to strong growth in China.;On 2 March, Chinese border guards with the help of regular PLA forces skillfully ambushed Strelnikov's unit on the ice near Chen Pao, killing him and 30 Soviets in the subsequent skirmish.;The peculiar position of the subsequent Derwent, close to the sea, suggests some glacial interference with normal adjustments, and calls for special explanation."
"suite","NOUN. 套房，套件，套間，組曲，套裝，一套","/swiːt/","✗","[A]s to men, we shall live altogether at the Duc de Romagnecourt's, his suite of servants will be ours.;a suite of rooms;a suite of minerals"
"template","NOUN. 模板，範本，樣板","/ˈtempleɪt/","✗","A template is a blueprint or formula for creating a generic class or a function. “C++ Templates”, in tutorialspoint, 2016;A quarter-century later, the Band’s music provided a key template for the acts first labeled Americana, including Son Volt, Wilco and Lucinda Williams, as well as for their sonic heirs.];A template for those who will become transhuman."
"unwed","ADJ. 未婚","/ˌʌnˈwed/","✗","My biological mother was a young, unwed college graduate student, and she decided to put me up for adoption. ;At last it was determined to unwed the unhappy pair, during the arrangements for which the husband was arrested and put into jail for six months for rioting.;The unwed, government dependent sheboons who use food as a babysitter, while stuffing their own faces constantly.;One of the rising female talents in the Indonesian film industry, director Pritagita Arianegara debuts with Salawaku, depicting profound contrasts between beautiful oceanscapes and struggling, unwed mothers."
