word,translation,phonetic,mastered,sentences
"broom","NOUN. 掃帚，掃把，笤帚，帚，布魯姆，掃","/bruːm/","✗","At the same time, the encroachment of vegetation proceeds apace, and broom and brambles have already made portions of the line impassable, even on foot.;I just got the drop, there is an opp
OFB step with the broom;He got forced to hold that broom, that dickhead reminds me of Cinderella"
"bullet","NOUN. 子彈，顆子彈，槍彈，枚子彈，子彈射，彈，彈頭，槍，劫，彈丸","/ˈbʊlɪt/","✗","John's not going to any of his top schools; he got a bullet from the last of them yesterday.;bullet train; bullet chess;Nakamura is a different animal at 15-minute rapid and five-minute blitz and even more so at one-minute bullet, and in this match he adopted a psychological approach which paid off brilliantly."
"burmese","NOUN. 緬甸，緬","/bɜːˈmiːz/","✗",""
"canvass","VERB. 遊説，排查","/ˈkænvəs/","✗","The one thing considered the brass ring in selling insurance was making a sale on a cold canvass. Cold canvassing was the most dreaded exercise for most insurance salesmen.;Uplong the slipp'ry Masts the Yards ascend, / And stretch'd abroad the Canvass wings extend.;If it changes a lot, wow, its relaxed to canvass."
"celestial","NOUN. 天朝，天球，天文 ADJ. 天體，仙界，天上，天國","/səˈlestiəl/","✗","We are now living and obeying celestial laws that will make us candidates for celestial glory.;How will you make it through your teenage years spiritually prepared for your celestial future? How will you connect your celestial goals with your everyday life?;However, with true Celestial pertinacity, `John' has stuck to his work."
"cheekbone","NOUN. 顴骨","/ˈtʃiːkbəʊn/","✓","She wanted to shove a sporf through his eyeball and smash her Victorian slotted across his cheekbone.;He looked at Eve, who smiled broadly, two rougelike puffs of excitement on each apple cheekbone.;Using the correct schemes of its application, you can give the person the ideal outlines: Highlight can be applied to the top of the cheekbone."
"chrome","NOUN. 鉻，鍍鉻，鉻鋼，瀏覽器","/krəʊm/","✓","Disrespect my nigga Boss and I'm flashin' the chrome;I ain't trippin' long 'cause I can reach the chrome / Heat your home like Southern California Gas, police pass;I had the idea of making our browser chrome match the actual hardware you were on. If your Mac’s bezel was Bondi blue, we’d make our UI Bondi blue."
"clang","NOUN. 鐺，鏗鏘","/klæŋ/","✗","Hangs is a false word, — a Northern corruption of the negro dialect yang, — an onomatopœian word, representing the ""far heard clang"" of the wild goose.;Bang, bang, Maxwell's silver hammer
Came down upon her head
Clang, clang, Maxwell's silver hammer
Made sure that she was dead;I see the Crusaders' tumultuous armies—hark, how the cymbals clang ..."
"closure","NOUN. 閉包，封閉，關閉，閉合，截流，合龍，封，收尾，倒閉","/ˈkləʊʒə(r)/","✗","7 THEOREM The closure of any set is the union of the set and the set of its accumulation points.;the closure of a door, or of a chink;The closure of Hammersmith Bridge means road traffic has to use Chiswick and Putney Bridges instead."
"commencement","NOUN. 生效日期，生效，畢業典禮，開課，動工，開始，開工","/kəˈmensmənt/","✗","The time of Henry VII nearly coincides with the commencement of what is termed modern history.;Yet from the commencement of mining there have been unnoble proprietors of mines, who belonged to the class of merchants.;Thanksgiving always falls on a Thursday.  Last year, Commencement fell on June 3."
"compensate","VERB. 補償，賠償，彌補，賠，代償，抵消","/ˈkɒmpenseɪt/","✗","It is hard work, but they will compensate you well for it.;His loud voice cannot compensate for a lack of personality.;To compensate me for his tree landing on my shed, my neighbor paved my driveway."
"conceive","VERB. 受孕，設想，懷孕，想象，構思，懷，想像 NOUN. 構想","/kənˈsiːv/","✗","Assisted procreation can help those trying to conceive.;Can you conceive of him as a leader?;for that is the fume of those, that conceive the celestial bodies have more accurate influences upon these things below, than indeed they have"
"congest","X. 使充滿，使擁塞，使充血，充塞，充血，擁擠","/kənd‍ʒˈɛst/","✗","For quotations using this term, see Citations:congest.;Too many tinygrams can congest a network connection.;He came by car and arrived in New York in four hours, and sometimes it took five hours to congest."
"congestion","NOUN. 擁塞，擠塞，擠塞情況，擁堵，充血，擁擠，阻塞，淤血，堵塞，瘀血","/kənˈdʒestʃən/","✗","network congestion;arterial congestion;venous congestion"
"contiguous","ADJ. 鄰接，毗連，連續，相鄰，接壤，相連，毗鄰","/kənˈtɪɡjuəs/","✗","[…] the usual quietness of the day, with us, was broken in upon by the shout of success from the pursuing boats, followed by vehement respondings from the contiguous ship.;the forty-eight contiguous states;Supposing three such houses to be contiguous to a central one, each separated from the latter by a straight wall."
"coordinate","NOUN. 座標，座標系 VERB. 協調，配合，統籌","/kəʊˈɔːdɪneɪt/","✗","two coordinate terms;It can be difficult to coordinate movement of both legs after an operation.;I was playing tennis for the first time, and it was difficult to coordinate."
"cyan","NOUN. 青色，青藍，青","/ˈsaɪæn/","✗","cyan (additive secondary):;cyan (subtractive primary):;By adding and subtracting the three primaries, cyan, yellow, and magenta are produced. These are called subtractive primaries."
"degrade","VERB. 降解，貶低，降低 NOUN. 降級，退化","/dɪˈɡreɪd/","✗","When executing bone scan protocols, it is well for one to be aware of how key deviations from optimal technique can degrade image quality.;As Sallas immediately said, the 130 scabs who so easily replaced the striking printers in '85 won't be foisted upon the union--to degrade it and possibly decertify it.;The Swiftboat strategy aims at hitting the target at his/her perceived area of strength, to discredit and degrade what would have been a political advantage."
"diesel","NOUN. 柴油，柴油機，柴","/ˈdiːzl/","✗","Thumbed a diesel down, outside a cafe.;Bobby thumbed a diesel down, just before it rained.;Yeah MB still does make inline sixes just low volumes (mainly for
Daewoo). Apart from the Diesel engines they build for trucks and buses."
"directive","NOUN. 指導，指令，方向性","/dəˈrektɪv/","✗","This door handle must be rotated fully. (the requirement is a directive, necessary to operate the handle);A directive management style is stronger among owners with 'lifestyle' as a business objective than among those with business/economic objectives.;The issue of the directive from the treasury prompted the central bank's most recent issue of currency."
"disband","VERB. 解散","/dɪsˈbænd/","✗","The president wanted to disband the scandal-plagued agency.;Afghanistan: Disarmament programme extendedKabul, October 31, 2007 (IRIN): The government of Afghanistan has extended its programme to disband all illegal armed groups by four years, according to officials.;""How can you disarm and disband an armed group in a rural village where there is no police, no army and no law-enforcing power?"""
"disciple","NOUN. 弟子，門徒，徒弟，信徒，徒","/dɪˈsaɪpl/","✗","God's disciple and his dearest minion;That I have loved you My most puissant disciple I am the fabric of life and death Humanity has perversed the truth;Ex-King Constantine would be regarded as an apt disciple so long as he succeeded in his purpose of hoodwinking the Allies."
"ecstasy","NOUN. 狂喜，搖頭丸，忘我，心醉神迷，入迷，極樂，欣喜若狂，欣喜","/ˈekstəsi/","✗","What! are you dreaming, Son! with Eyes cast upwards / Like a mad Prophet in an Ecstasy?;The instant I drew out my case of instruments, the lady roused herself from her ecstasy, and has never had a similar attack.;In ecstasy the mind is absorbed with some fixed idea, generally of a religious character, and the patient becomes oblivious of surrounding events and objects."
"explicit","ADJ. 顯式，明確，顯性，露骨，顯，明晰，清晰","/ɪkˈsplɪsɪt/","✗","Coordinate term: simile (when the similarity is made explicit by the words like or as);I gave explicit instructions for him to stay here, but he followed me, anyway.;The film had several scenes including explicit language and sex."
"fabulous","ADJ. 神話般，精彩，難以置信，美妙，棒極，傳説","/ˈfæbjələs/","✗","Your functions in subtitle translation within YouTube are fabulous!!! ;Sunshine ranks high in the island's greates burger debate, while the chicken egg rolls with mango chutney and jerk mayo and fabulous fish tacos elevate pub grub to an art.;They include fresh noodles, roasted chickens, savory Italian tortas, caponata and other antipasti like roasted onions in balsamic vinegar, crusty walnut breads, biscotti, and fabulous Italian desserts.;Our fabulous new crumpets have been selling like a bomb."
"facilitate","VERB. 方便，促進，便於，便利，協助，以便，推動，有利於，助","/fəˈsɪlɪteɪt/","✗","It is said to have been labyrinthed by secret exits and cunning contrivances to facilitate the escape of fugitives from the law.;Early in the year the raws were melted to about 20 Brix in order to facilitate filtration.;In order to facilitate taking by the patient, powders are often ordered to be dispensed in cachets."
"finalize","VERB. 敲定，定案，定型，完成","/ˈfaɪnəlaɪz/","✗","As soon as we get the plane tickets, we'll finalize our reservations with the hotel.;Select OK on Sensor Setup window to finalize programming.;It remains to finalize all small details and German tank Paten."
"floorplan","X. 平[樓]面佈置圖","flˈɔːplən","✓",""
"folklore","NOUN. 民俗學，民間傳説，民俗，民間文學藝術，民間文學，民間故事，傳説","/ˈfəʊklɔː(r)/","✗","A selection of longer items of hacker folklore and humor is included in Appendix A, Hacker Folklore.;It's a piece of old folklore for which I would love to find hard proof.;Cf. Sandman, a mythical character in European folklore who puts people to sleep and encourages and inspires beautiful dreams by sprinkling magical sand onto their eyes."
"grant","NOUN. 格蘭特，補助金，批予，批出，撥款，批，授權 VERB. 授予，給予，批准","/ɡrɑːnt/","✗","God, grant me the serenity[…];the grant of permission for a project;I got a grant from the government to study archeology in Egypt."
"hatch","NOUN. 艙口，孵化，哈奇，艙門，艙口蓋，艙蓋，艙 VERB. 孵","/hætʃ/","✗","The cook passed the dishes through the serving hatch.;A service hatch with sliding shutter is situated at the end of the kitchen next to the dining compartment.;These pullets are from an April hatch."
"hazard","NOUN. 危害，災害，危險，危險性，風險，隱患，危害性，害","/ˈhæzəd/","✗","He encountered the enemy at the hazard of his reputation and life.;Men are led on from one stage of life to another in a condition of the utmost hazard.;Why, now, blow wind, swell billow, and swim bark! The storm is up and all is on the hazard."
"hover","NOUN. 懸停，翱翔，徘徊，氣墊，懸浮，縈繞 VERB. 鼠標懸停，盤旋","/ˈhɒvə(r)/","✗","A tooltip appears when you hover over this link.;Without the Chop Chop Chop Chop Cowville seems almost normal: no hover of helicopters, no leap of leopards.;Up on the downs the red-eyed kestrels hover,
Eyeing the grass.
The field mouse flits like a shadow into cover
As their shadows pass."
"incognito","NOUN. 隱姓埋名，隱身","/ˌɪnkɒɡˈniːtəʊ/","✗","His keynote speech was delivered on his arrival, incognito, in al-Kufah, which at the time was a focus of Khariji dissidence.;1864,, William Stephens Hayward, Revelations of a Lady Detective, short story ""Incognito"", George Vickers, Strand
I pulled the check-string, and gave him [the coachdriver] his instructions.;But we would submit that it is going much too far to claim that all secularization arises from biblical influences—albethey indirect or incognito in many cases."
"intact","ADJ. 完好無損，完好，完整，完整無缺，完好無缺，原狀，原封不動，原封，保存完好，完整性","/ɪnˈtækt/","✗","I packed my belongings carefully so that they would survive the move intact.;She hadn't been... molested? No, no, nothing like that. I have examined her. She is quite intact.;an intact bull"
"interdependent","ADJ. 相互依存，相互依賴，互相依存，依存，相互關聯","/ˌɪntədɪˈpendənt/","✗","All life on our planet exists only because we are enmeshed within a complex web of interdependent ecological and social systems.;In the United States, trans-metropolitan areas are referred to as megapolitans, large urban regions with physically interconnected metropolitan and micropolitan areas through transportation networks, constituting a functionally interdependent urban network[…].;The interaction of discourses is dynamic, interdependent, ""interanimate,"" and ""interilluminating."""
"intricacy","NOUN. 複雜性","/ˈɪntrɪkəsi/","✗","the intricacy of a knot;the intricacy of accounts;the intricacy of a cause in controversy"
"ladybug","NOUN. 瓢蟲","/lˈe‍ɪdɪbˌʌɡ/","✗","It was seldom that Mrs. Ladybug hesitated to speak her mind right out to a person if she happened to disapprove of him.;Master class for children - ladybug To create God's cows, we will need the following materials: Cardboard sheet.;Beautifully ladybug will look at a leaflet of green paper."
"leverage","NOUN. 槓桿，槓桿率，槓桿比率，籌碼，影響力，負債 VERB. 利用","/ˈliːvərɪdʒ/","✗","A crowbar uses leverage to pry nails out of wood.;Try using competitors’ prices for leverage in the negotiation.;Leverage is great until something goes wrong with your investments and you still have to pay your debts."
"liability","NOUN. 責任，負債，賠償責任，歸責，債務，義務","/ˌlaɪəˈbɪləti/","✓","For example, a no liability company must include in its name the words “No Liability” or its abbreviation “NL” as a warning to persons dealing with such a company.;You're a bloody liability sometimes!;Coordinate term: liability"
"lobby","NOUN. 大堂，大廳，遊説團體，遊説團，遊説集團，門廳，休息室，門廊 VERB. 遊説","/ˈlɒbi/","✗","I had to wait in the lobby for hours before seeing the doctor.;The influence of the tobacco lobby has decreased considerably in the US.;For years, pro-life groups have continued to lobby hard for restrictions on abortion."
"lotus","NOUN. 蓮花，荷花，蓮，芙蓉，阿蓮，荷，蓮藕，藕，蓮子，荷葉","/ˈləʊtəs/","✗","2007, Tim Speed, Brad Schauf, Dick McCarrick, Lotus Notes Domino 8: Upgrader's Guide:;I told him how much I'd liked my fish course, a black sea bass fillet with pickled lotus root and huitlacoche sauce […];The visit to Pushkar is, however, a little more than the obligatory obeisance done at the site where Brahma carelessly dropped a lotus blossom as he was wondering where to perform a yagnya."
"macaque","NOUN. 獼猴，猴","/məˈkæk/","✗","Other antigen positive tissues common to both the hemorrhagic variola macaque model and the MPXV marmoset models include epithelial, testicular, adrenocortical, and hepatic, as well as endothelial cell immunopositivity.;Additionally, DNA of following species not covered by the assay was tested to exclude cross-reactivity: macaque, budgerigar, pogona, and carp.;Experiments in the macaque show that eye movement speed can be >20% higher when the target is rewarded compared with nonrewarded (Bendiksby and Platt 2006)."
"magnify","VERB. 放大，擴大化，誇大 ADV. 氣勢","/ˈmæɡnɪfaɪ/","✗","St. Paul chose to magnify his office when ill men conspired to lessen it.;Our burning-glass also now became a great treasure, as it enabled me to magnify, and so perceive more clearly […].;magnify something a billionfold"
"maniac","NOUN. 瘋子，狂，狂徒，狂人","/ˈmeɪniæk/","✗","She was driving like a maniac.;He's a manga maniac.;She's a maniac, maniac on the floor / And she's dancing like she never danced before"
"markup","NOUN. 標記，漲價，加價，增高","/ˈmɑːkʌp/","✗","You don’t make much money selling gas because the markup is so low.;There will be a markup on those products next week; better buy them now.;For example, a filename of “home.html” would be appropriate for an ASCII/text file containing HTML markup."
"mascara","NOUN. 睫毛膏，睫毛","/mæˈskɑːrə/","✗","apply mascara;put on mascara;mascara runs"
"pessimistic","ADJ. 悲觀，持悲觀，悲觀厭世，悲觀主義，悲觀主義者","/ˌpesɪˈmɪstɪk/","✗","a pessimistic view of the future;a pessimistic estimate;pessimistic concurrency; pessimistic locking"
"portal","NOUN. 門户，門户網站，入口，洞口 ADJ. 門，後門","/ˈpɔːtl/","✓","The local library, a portal of knowledge.;The new medical portal has dozens of topical categories containing links to hundreds of sites.;the portal vein"
"prevalent","ADJ. 普遍，盛行，流行","/ˈprevələnt/","✗","[In] May, there was, at London and in its neighbourhood, a disease very epidemic, though not fatal, which had some time before been very prevalent both in Italy and Germany.;The species I found to be most prevalent on the Spring Green study site were compared with lists of prevalents in compositionally related communities of Wisconsin developed by Curtis (1959).;On average, blues and other dilutes have weaker coats and skin problems seem more prevalent in the dilutes."
"provoke","VERB. 挑起，惹，招惹，激怒，挑釁，激起","/prəˈvəʊk/","✗","Not that the doctor was a bully, or even pugnacious, in the usual sense of the word; he had no disposition to provoke a fight, no propense love of quarrelling.;They rightly say that attacks against prostitute women are common and that it's only when five are murdered in one place that it starts to provoke debate.;Don't provoke the dog; it may try to bite you."
"quorum","NOUN. 法定人數，仲裁","/ˈkwɔːrəm/","✗","We can discuss the issue tonight, but cannot vote until we have a quorum.;If one is praying without a minyan (quorum), he should not say Hashem, Hashem in the manner of supplication but rather should read it in a cantillatory style.;In addition, some roseobacters have been shown to utilize other signaling molecules apart from AHLs in quorum sensing, i.e. tropodithietic acid (TDA) (Geng and Belas 2010a)."
"safari","NOUN. 狩獵，野生動物，探險","/səˈfɑːri/","✗","We're going on a safari in Kenya.;An ardent junker herself, Mrs. Egge tells how to conduct a fascinating junk safari into the attic or antique and secondhand shops and what to do with the trophies you bring home.;Come on, boy, move that body/ 'Cause tonight I'm naughty, naughty/ Dance with me like it's my party/ We go wild, we're in safari"
"saudi","ADJ. 沙特，沙特阿拉伯","/ˈsaʊdi/","✗","The agal he wore on his head gave him away as a Saudi.;June 22 2008, Sebastian Abbot, Oil minister: Saudi willing to increase crude output, Associated Press:;2000, Thomas C. Barger, Timothy J. Barger, Out in the Blue: Letters from Arabia, 1937 to 1940 : a Young American Geologist Explores the Deserts of Early Saudi Arabia, →ISBN:"
"scenario","NOUN. 場景，情景，方案，情形，情況下，情境，劇情，情節，局面","/səˈnɑːriəʊ/","✓","Hearts were keen to avoid a repeat of the scenario at this stage of last season's competition, when they found themselves two goals down inside the opening quarter of an hour.;Warnock admitted it would be the ideal scenario if he received a Carling Cup winners' medal as well as an England call-up[…].;In this scenario, the growth rates are higher for the economic tigers than for the other economies."
"sectarianism","NOUN. 宗派主義","/sekˈteəriənɪzəm/","✗","They were discussing sectarianism between Shias and Sunnis.;In Lebanese sectarianism, one half of the members of parliament are Christians and the other half are Muslims.;The entire path (Dhamma) is a universal remedy for universal problems and has nothing to do with any organized religion or sectarianism."
"sphinx","NOUN. 獅身人面像，斯芬克斯","/sfɪŋks/","✗","The secret of Man's Being is still like the Sphinx's secret: a riddle that he cannot rede.;Some consider the defacement of the Sphinx to be the most egregious crime of Napolean's campaigns.;Sara, oh Sara / Scorpio Sphinx in a calico dress"
"submission","NOUN. 提交，投稿，呈交，遞交，意見書，陳詞，屈服，順從，服從","/səbˈmɪʃn/","✗","The Baronies appear to have been formed successively on the submission of the Irish chiefs... the territory of each constituting a barony.;The most usuall way to appease those minds we have offended […] is, by submission to move them to commiseration and pitty.;Ovid might have evaded her entreaties by means of an excuse. But her eyes were irresistible: they looked him into submission in an instant."
"subsequent","ADJ. 後續，隨後，其後，後繼，後來，以後，接下來，後面，日後","/ˈsʌbsɪkwənt/","✓","Growth was dampened by a softening of the global economy in 2001, but picked up in the subsequent years due to strong growth in China.;On 2 March, Chinese border guards with the help of regular PLA forces skillfully ambushed Strelnikov's unit on the ice near Chen Pao, killing him and 30 Soviets in the subsequent skirmish.;The peculiar position of the subsequent Derwent, close to the sea, suggests some glacial interference with normal adjustments, and calls for special explanation."
"suite","NOUN. 套房，套件，套間，組曲，套裝，一套","/swiːt/","✗","[A]s to men, we shall live altogether at the Duc de Romagnecourt's, his suite of servants will be ours.;a suite of rooms;a suite of minerals"
"tabular","ADJ. 表格","/ˈtæbjələ(r)/","✗","Dark brown to black; streak brownish red; fracture shelllike; crystals equidimensional to tabular, also in rounded and scaly masses...;It should be noted that the first and the second method is well suited for both ordinary text and for tabular data.;This is due to the formation of a smaller code compared to the tabular one."
"template","NOUN. 模板，範本，樣板","/ˈtempleɪt/","✗","A template is a blueprint or formula for creating a generic class or a function. “C++ Templates”, in tutorialspoint, 2016;A quarter-century later, the Band’s music provided a key template for the acts first labeled Americana, including Son Volt, Wilco and Lucinda Williams, as well as for their sonic heirs.];A template for those who will become transhuman."
"tragic","ADJ. 悲劇，悲慘，悲劇性，悲壯，慘烈，悲情，可悲，不幸，慘","/ˈtrædʒɪk/","✗","14 February 2008, “Search for tragic Madeleine McCann over”, in The Daily Telegraph, Australia:;That dress is tragic.;He's pretty tragic these days, hanging out with people half his age."
"trail","NOUN. 蹤跡，線索，小道，足跡，小徑，痕跡，徑，軌跡，追蹤","/treɪl/","✗","You'll get your coat all muddy if you trail it around like that.;Even now I behold a sign, A threatening of wrath divine, A watery, wandering star, through whose streaming hair, and the white Unfolding garments of light, That trail behind it afar, The constellations shine!;trail of blood"
"tweak","VERB. 調整，微調 NOUN. 捏","/twiːk/","✗","to tweak the nose.;If we tweak the colors towards blue, it will look more natural.;“Russia needs leadership and he knows how to tweak people.” He grinned, “He made a convert of me,” chuckling. “I wanted to lead him by the hand, now I follow him like a puppy dog.”"
"twiddle","ADJ. 旋轉","/ˈtwɪdl/","✗","the twiddle factor, and;He put away the reciever with receiver with a twiddle of pudgy fingers.;Instead, flagellar motion causes the bacterium to swim smoothly (called a run), then stop and tumble (a twiddle), followed by another period of smooth swimming;A raised white brow in my direction, and a twiddle of the pipe stem toward the trail indicated that his wife was at our house, if that's who I was looking for."
"twofold","ADJ. 雙重，兩重","/ˈtuːfəʊld/","✗","The wheat produced a twofold harvest.;a twofold nature; a twofold sense; a twofold argument;It is the tale of Ixion's twofold guilt, unnatural murder and unlawful love."
"unwed","ADJ. 未婚","/ˌʌnˈwed/","✗","My biological mother was a young, unwed college graduate student, and she decided to put me up for adoption. ;At last it was determined to unwed the unhappy pair, during the arrangements for which the husband was arrested and put into jail for six months for rioting.;The unwed, government dependent sheboons who use food as a babysitter, while stuffing their own faces constantly.;One of the rising female talents in the Indonesian film industry, director Pritagita Arianegara debuts with Salawaku, depicting profound contrasts between beautiful oceanscapes and struggling, unwed mothers."
"wagon","NOUN. 旅行車，車皮，馬車，貨車，運貨車，槽車，戒酒，輛馬車，大車","/ˈwæɡən/","✗","The waiters wore red jackets with black lapels, in summer white jackets with green lapels. There was a roast beef wagon. A pastry section in the huge kitchen.;I began as a patrol officer, working the wagon, squad car, and three-wheelers until 1963, when I took the detective exam.;Well fuck yeh, yeh stuck-up little wagon."
"zodiac","NOUN. 黃道帶，生肖，十二生肖，黃道，星座，屬相，黃道十二宮，宮","/ˈzəʊdiæk/","✗","The moon's path lies in that belt of the heavens known as the zodiac.;Of all the zodiac signs, Sagittarius is the least likely to rush into a commitment. They think romance should always be an adventure, and it takes a lot for them to DTR.;Such a comparatively unremunerative occupation as that of carrying a few score head of cattle six times a year from Port Zodiac to Port Marivelles was not worth a ship-owner's thought […]"
