word,translation,phonetic,mastered,sentences
"annex","NOUN. An addition, an extension.，An appendix to a book or document.，An addition or extension to a building.，An addition to the territory of a country or state, from a neighbouring country or state, normally by military force. VERB. To add something to another thing, especially territory; to incorporate.，To attach or connect, as a consequence, condition, etc.，To join; to be united. PROPN. A census-designated place in Malheur County, Oregon, United States.","/ˈæneks/","✗","Under Edward the Second, the Commons began to annex petitions to the bills by which they granted subsidies;to annex a penalty to a prohibition, or punishment to guilt;Next to sorrow still I may annex such accidents as procure fear; for besides those terrors which I have before touched, […] there is a superstitious fear […] which much trouble many of us."
"applicable","ADJ. suitable for application, relevant","/əˈplɪkəbl/","✗","This rule is not applicable to the longer-standing members of the club.;An advice issued by a Monitoring Committee could be applicable in a Dutch court;the question arises, whether an advice issued by a Monitoring Committee would actually be applicable in a Dutch court"
"appropriately","ADV. In an appropriate manner; properly; suitably.","/əˈprəʊpriətli/","✗","On the way out of the building I was asked for my autograph. If I'd known who the signature hound thought I was, I would've signed appropriately.;Their fellow diners, like their ketchupped grub, were appropriately dashed and splattered with paint and plaster, reading their Suns and Daily Mirror.;Good will is also secured by plussing the original purchase with another article that goes appropriately with it."
"auspicious","ADJ. Of good omen; indicating future success.，Conducive to success.，Marked by success; prosperous.","/ɔːˈspɪʃəs/","✗","This is an auspicious day.;Betwixt two seasons comes th' auspicious air, / This age to blossom, and the next to bear.;The addition of Holiday is especially auspicious because while the team is stacked with great offensive players, it is a little lacking on defense, and he fills that gap."
"azure","NOUN. The clear blue colour of the sky; also, a pigment or dye of this colour.，A blue colour on a coat of arms, represented in engraving by horizontal parallel lines.，The unclouded sky; the blue vault above.，Any of various widely distributed lycaenid butterflies of the genus Celastrina.，Any of various Australasian lycaenid butterflies of the genus Ogyris.，Lapis lazuli. ADJ. Sky blue; resembling the clear blue colour of the unclouded sky.，Cloudless.，In blazon, of the colour blue. VERB. To colour blue. PROPN. A surname.","/ˈæʒə(r)/","✗","In robes of azure.;In Bb [Glover's Roll], the conventional letter B is used to indicate azure in most items.;azure (heraldry):"
"barefaced","ADJ. Undisguisedly offensive and bold; crude.，Open, undisguised.，Unbearded (not having a beard or other facial hair).，Unmasked (not wearing a mask) or not wearing a face covering.","/ˈbeəfeɪst/","✗","But this takes chutzpah (aka barefaced cheek) and flies in the face of received wisdom about what you do, when and how.So be it, I say."
"bluff","NOUN. An act of bluffing; a false expression of the strength of one's position in order to intimidate; braggadocio.，An attempt to represent oneself as holding a stronger hand than one actually does.，The card game poker.，One who bluffs; a bluffer.，An excuse.，A high, steep bank, for example by a river or the sea, or beside a ravine or plain; a cliff with a broad face.，A small wood or stand of trees, typically poplar or willow. VERB. To make a bluff; to give the impression that one's hand is stronger than it is.，To frighten or deter with a false show of strength or confidence; to give a false impression of strength or temerity in order to intimidate and gain some advantage.，To take advantage by bluffing.，To give false information intentionally; to lie; to deceive，To fluff, puff or swell up. ADJ. Having a broad, flattened front.，Rising steeply with a flat or rounded front.，Surly; churlish; gruff; rough.，Roughly frank and hearty in one's manners. PROPN. A town in New Zealand, the southernmost in the South Island, and seaport for the Southland region.","/blʌf/","✗","That is only bluff, or a bluff.;John's bet was a bluff: he bet without even so much as a pair.;BLUFF OR POKER [title of a chapter]"
"broom","NOUN. A domestic utensil with fibers bound together at the end of a long handle, used for sweeping.，An implement with which players sweep the ice to make a stone travel further and curl less; a sweeper.，Any of several yellow-flowered shrubs of the family Fabaceae, with long, stiff, thin branches and small or few leaves used for the domestic utensil.
especially, of the tribe Genisteae, including genera Cytisus, Genista, and Spartium，Any of several yellow-flowered shrubs of the family Fabaceae, with long, stiff, thin branches and small or few leaves used for the domestic utensil.
of plants not closely related to those of tribe Genisteae.，Any of several yellow-flowered shrubs of the family Fabaceae, with long, stiff, thin branches and small or few leaves used for the domestic utensil.，A shotgun. VERB. To sweep with a broom.，To improve the embedding of a membrane by using a broom or squeegee to smooth it out and ensure contact with the adhesive under the membrane.，to get rid of someone, like firing an employee or breaking up with a girlfriend, to sweep another out of one's life，Alternative form of bream (“to clean a ship's bottom”) INTJ. Alternative form of brrm (“sound of a car engine”) PROPN. A number of places in England:
A village in Southill parish, Central Bedfordshire, Bedfordshire (OS grid ref TL1743).，A number of places in England:
A hamlet in Long Marton parish, Eden district, Cumbria (OS grid ref NY6623).，A number of places in England:
A locality in Thorncombe parish, west Dorset, on the boundary with Devon and close to Somerset (OS grid ref ST3202).，A number of places in England:
A southern suburb of Rotherham, South Yorkshire (OS grid ref SK4491).，A number of places in England:
A village in Bidford-on-Avon parish, Stratford-on-Avon district, Warwickshire (OS grid ref SP0853).，A suburb of Newton Mearns, East Renfrewshire council area, Scotland (OS grid ref NS5556).，A hamlet in Kilgetty/Begelly community, Pembrokeshire, Wales (OS grid ref SN1108).，A surname.","/bruːm/","✗","At the same time, the encroachment of vegetation proceeds apace, and broom and brambles have already made portions of the line impassable, even on foot.;I just got the drop, there is an opp
OFB step with the broom;He got forced to hold that broom, that dickhead reminds me of Cinderella"
"bullet","NOUN. A projectile, usually of metal, shot from a gun at high speed.，An entire round of unfired ammunition for a firearm, including the projectile, the cartridge casing, the propellant charge, etc.，Ammunition for a sling or slingshot which has been manufactured for such use.，A printed symbol in the form of a solid circle, “•”, often used to mark items in a list.，A large scheduled repayment of the principal of a loan; a balloon payment.，A rejection letter, as for employment, admission to a school or a competition.，One year of prison time.，An ace (the playing card).，Anything that is projected extremely fast.，Very fast (speedy).，chess played at an extremely fast time control, with one minute given to each player. (Short for bullet chess.)，A plumb or sinker.，The heavy projectile thrown in a game of road bowling.，A roughly bullet-shaped sweet consisting of a cylinder of liquorice covered in chocolate.，A small ball.，A cannonball.，The fetlock of a horse.，A notation used on pop music charts to indicate that a song is climbing in the rankings.，A young or little bull; a male calf. VERB. To draw attention to (text) by, or as if by, placing a graphic bullet in front of it.，To speed, like a bullet.，To make a shot, especially with great speed.","/ˈbʊlɪt/","✗","John's not going to any of his top schools; he got a bullet from the last of them yesterday.;bullet train; bullet chess;Nakamura is a different animal at 15-minute rapid and five-minute blitz and even more so at one-minute bullet, and in this match he adopted a psychological approach which paid off brilliantly."
"burmese","ADJ. Of or relating to Burma (Myanmar) or its people or language. NOUN. A person from Myanmar or of Burmese descent.，A medium-sized, short-haired domestic cat breed, originating in Thailand. PROPN. The Sino-Tibetan official language of the country Burma. Also known as Myanmar (which is the name preferred by the country's current government).，The script in which the Burmese language is written.","/bɜːˈmiːz/","✗",""
"canvass","VERB. To thoroughly examine or investigate (something) physically or by discussion; to debate, to gather opinion, to scrutinize.，To scrutinize (the ballot in an election or the votes cast) and reject irregular votes; also, to challenge or dispute (an election result).，To seek or solicit donations, information, opinions, support, etc. from (people or a place)，To seek the support of (voters or a constituency) in a forthcoming election or poll through personal solicitation or public addresses.，To toss (someone) in a (canvas) sheet for fun or as a punishment; to blanket.，To batter, beat, or thrash (someone or something).，To assail or attack (someone or something).，To severely criticize (a person, a written work, etc.).，To debate, to discuss.，To seek or solicit donations, information, opinions, support, etc.; to conduct a survey.，To seek the support of voters or a constituency in a forthcoming election or poll; to campaign. NOUN. A seeking or solicitation of donations, information, opinions, support, etc.，A seeking or solicitation, or determination, of support or favourable votes in a forthcoming election or poll.，A scrutiny of the votes cast in an election to reject irregular votes; also, a tally, audit, and certification of votes.，A thorough discussion or investigation. (Possibly; the meaning is unclear.)，Rejection (at an election, of a suit, etc.).，Obsolete spelling of canvas","/ˈkænvəs/","✗","The one thing considered the brass ring in selling insurance was making a sale on a cold canvass. Cold canvassing was the most dreaded exercise for most insurance salesmen.;Uplong the slipp'ry Masts the Yards ascend, / And stretch'd abroad the Canvass wings extend.;If it changes a lot, wow, its relaxed to canvass."
"carpenter","NOUN. A person skilled at carpentry, the trade of cutting and joining timber in order to construct buildings or other structures.，A senior rating in ships responsible for all the woodwork onboard; in the days of sail, a warrant officer responsible for the hull, masts, spars and boats of a ship, and whose responsibility was to sound the well to see if the ship was making water.，A two-wheeled carriage.，A carpenter bee.，A woodlouse. VERB. To work as a carpenter, cutting and joining timber. PROPN. A surname originating as an occupation derived from the trade name carpenter.，A number of places in the United States:
Synonym of Long Island, Alabama.，A number of places in the United States:
A ghost town in Mesa County, Colorado.，A number of places in the United States:
An unincorporated community in New Castle County, Delaware.，A number of places in the United States:
A township in Jasper County, Indiana.，A number of places in the United States:
A minor city in Mitchell County, Iowa.，A number of places in the United States:
An unincorporated community in Whitley County, Kentucky.，A number of places in the United States:
A township in Itasca County, Minnesota.，A number of places in the United States:
An unincorporated community in Copiah County, Mississippi.，A number of places in the United States:
An unincorporated community in Bernalillo County, New Mexico.，A number of places in the United States:
A former settlement in Grant County, New Mexico.，A number of places in the United States:
An unincorporated community including Carpenter Historic District in Wake County, North Carolina.，A number of places in the United States:
An unincorporated community in Rolette County, North Dakota.，A number of places in the United States:
A township in Steele County, North Dakota.，A number of places in the United States:
An unincorporated community in Meigs County, Ohio.，A number of places in the United States:
An unincorporated community in Roger Mills County and Custer County, Oklahoma.，A number of places in the United States:
An unincorporated community in Clark County, South Dakota.，A number of places in the United States:
An unincorporated community in Wilson County, Texas.，A number of places in the United States:
An unincorporated community and census-designated place in Laramie County, Wyoming.","/ˈkɑːpəntə(r)/","✗","In The Cook and the Carpenter, Arnold used the device of a neuter pronoun ""na,"" instead of assigning gender to the characters.;The village carpenter […] lays out his work by empirical rules learnt in his apprenticeship.;Carpenter now placed himself at silly-point for Grundy, who was playing very forward."
"caveat","NOUN. A warning.，A qualification or exemption.，A formal objection.，A formal objection.
A formal notice of interest in land under a Torrens land-title system.，A notice requesting a postponement of a court proceeding. VERB. To qualify a statement with a caveat or proviso.，To formally object to something.，To formally object to something.
To lodge a formal notice of interest in land under a Torrens land-title system.，To issue a notice requesting that proceedings be suspended.，To warn or caution against some event.","/ˈkæviæt/","✗","There is at least one caveat in cultivation: you’ll have to stick to only one discipline, such as that according to Bhaiṣajyaguru, the Medicine Buddha.;Two young Harvard M.B.A.'s worked up some highly optimistic projections—with the caveat that these were speculative and should of course be tested.;He gave his daughter some hyacinth bulbs with the caveat that she plant them in the shade."
"celestial","ADJ. Synonym of heavenly: of or related to Heaven and the divine.，Relating to the sky or outer space, regarded as the realm of the sun, moon, planets, and stars.，Of or pertaining to the highest degree of glory.，Extremely good, pleasant, or blissful; heavenly. NOUN. An inhabitant of heaven.，A native of China.，by extension, an East Asian person.，a person from the Celestial Empire (usually associated with the period of the Qing Dynasty)","/səˈlestiəl/","✓","We are now living and obeying celestial laws that will make us candidates for celestial glory.;How will you make it through your teenage years spiritually prepared for your celestial future? How will you connect your celestial goals with your everyday life?;However, with true Celestial pertinacity, `John' has stuck to his work."
"cheekbone","NOUN. The small prominent bone of the cheek.","/ˈtʃiːkbəʊn/","✓","She wanted to shove a sporf through his eyeball and smash her Victorian slotted across his cheekbone.;He looked at Eve, who smiled broadly, two rougelike puffs of excitement on each apple cheekbone.;Using the correct schemes of its application, you can give the person the ideal outlines: Highlight can be applied to the top of the cheekbone."
"chromatic","ADJ. Uses relating to colour
Characterized or caused by, or relating to, colour or hue.，Uses relating to colour
Brightly coloured; colourful, vivid.，Uses relating to colour
Having the capacity to separate spectral colours by refraction.，One of three types of tetrachord (the others being the diatonic and enharmonic), with an interval between half and four-fifths of the total interval of a tetrachord.，Relating to or using notes not belonging to the diatonic scale of the key in which a passage of music is written.，Relating to chromatin (“a complex of DNA, RNA, and proteins within the cell nucleus out of which chromosomes condense during cell division”).","/krəˈmætɪk/","✗","The chromatic threads next arrange themselves in the equatorial plane of the nucleus, and then divide into two groups of threads, each of which forms a daughter nucleus.;At the end of the prelude of Caprice V, there is a chromatic ascending and descending scale of forty-eight notes to be played in one bow in legato.;More octaves ensue, followed by chromatic passagework with filigree scales."
"chrome","NOUN. Chromium, when used to plate other metals.，handguns，The basic structural elements used in a graphical user interface, such as window frames and scroll bars, as opposed to the content. VERB. To plate with chrome.，To treat with a solution of potassium bichromate, as in dyeing.","/krəʊm/","✓","Disrespect my nigga Boss and I'm flashin' the chrome;I ain't trippin' long 'cause I can reach the chrome / Heat your home like Southern California Gas, police pass;I had the idea of making our browser chrome match the actual hardware you were on. If your Mac’s bezel was Bondi blue, we’d make our UI Bondi blue."
"circuitry","NOUN. A specific system of electrical circuits in a particular device; (uncountable) the design of such a system.，Electrical (or, by extension, other) circuits considered as a group.，The brain's neural network.","/ˈsɜːkɪtri/","✗","The circuitry traversed by the source clock from its source point to the startpoint of the datapath. ;After jettison of nose cap, all the detector circuitry became exposed to the radiation environment.;Telemetering transmitter removed from its pressurized container. The circuitry for each of the 23 channels can be quickly unplugged for servicing.;Since [Santiago Ramón y] Cajal's neural circuitry did not include inhibitory cells, he believed that short-axoned cells were important in maintaining a continuous and persistent activity in neural centers."
"circumcision","NOUN. The surgical removal of the foreskin of the penis.，The surgical removal of the clitoral hood of the clitoris; female circumcision.，The surgical removal of the clitoris; clitoridectomy, usually referred to as female genital mutilation.","/ˌsɜːkəmˈsɪʒn/","✗","After all, Jehovah had instituted the rite of circumcision in which the clipped penis became consecrated to him, […];Circumcision ’s effect on sex is a white-hot issue in the United States for the small but vocal anticircumcision lobby.;But this [ban on circumcision] must have been a provocation, as the emperor Antoninus Pius later acknowledged by excepting the Jews."
"clang","NOUN. A loud, ringing sound, like that made by free-hanging metal objects striking each other.，Quality of tone.，The cry of some birds, including the crane and the goose.，A word or phrase linked only by sound and not by meaning, characteristic of some mental disorders.，Alternative form of klang VERB. To strike (objects) together so as to produce a clang.，To give out a clang; to resound. INTJ. Imitative of a loud metallic ringing sound.，Said after someone has name-dropped (mentioned a famous person with whom they are acquainted).","/klæŋ/","✗","Hangs is a false word, — a Northern corruption of the negro dialect yang, — an onomatopœian word, representing the ""far heard clang"" of the wild goose.;Bang, bang, Maxwell's silver hammer
Came down upon her head
Clang, clang, Maxwell's silver hammer
Made sure that she was dead;I see the Crusaders' tumultuous armies—hark, how the cymbals clang ..."
"closure","NOUN. An event or occurrence that signifies an ending.，A feeling of completeness; the experience of an emotional conclusion, usually to a difficult period.，A device to facilitate temporary and repeatable opening and closing.，An abstraction that represents a function within an environment, a context consisting of the variables that are both bound at a particular time during the execution of the program and that are within the function's scope.，The smallest set that both includes a given subset and possesses some given property.，The smallest closed set which contains the given set.，The act of shutting; a closing.，The act of shutting or closing something permanently or temporarily.，That which closes or shuts; that by which separate parts are fastened or closed.，That which encloses or confines; an enclosure.，A method of ending a parliamentary debate and securing an immediate vote upon a measure before a legislative body.，The phenomenon by which a group maintains its resources by the exclusion of others from their group based on varied criteria. ᵂᵖ，The process whereby the reader of a comic book infers the sequence of events by looking at the picture panels.","/ˈkləʊʒə(r)/","✓","7 THEOREM The closure of any set is the union of the set and the set of its accumulation points.;the closure of a door, or of a chink;The closure of Hammersmith Bridge means road traffic has to use Chiswick and Putney Bridges instead."
"coincide","VERB. To occupy exactly the same space.，To occur at the same time.，To correspond, concur, or agree.","/ˌkəʊɪnˈsaɪd/","✗","The two squares coincide nicely.;The conference will coincide with his vacation.;Our ideas coincide, except in certain areas."
"commencement","NOUN. The first existence of anything; act or fact of commencing; the beginning.，The day when degrees are conferred by colleges and universities upon students and others.，A graduation ceremony, from a school, college or university. Sometimes before the actual graduation.","/kəˈmensmənt/","✓","The time of Henry VII nearly coincides with the commencement of what is termed modern history.;Yet from the commencement of mining there have been unnoble proprietors of mines, who belonged to the class of merchants.;Thanksgiving always falls on a Thursday.  Last year, Commencement fell on June 3."
"compensate","VERB. To do (something good) after (something bad) happens，To pay or reward someone in exchange for work done or some other consideration.，To make up for; to do something in place of something else; to correct, satisfy; to reach an agreement such that the scales are literally or (metaphorically) balanced; to equalize or make even.，To adjust or adapt to a change, often a harm or deprivation.","/ˈkɒmpenseɪt/","✓","It is hard work, but they will compensate you well for it.;His loud voice cannot compensate for a lack of personality.;To compensate me for his tree landing on my shed, my neighbor paved my driveway."
"concatenation","NOUN. A series of links united; a series or order of things depending on each other, as if linked together; a chain, a succession.，The application of these series of links.，The operation of joining multiple character strings.，A character string formed by joining multiple character strings.","/kənˌkætəˈneɪʃn/","✗","A fundamental operation on strings is string concatenation which we will denote by juxtaposition.;The genius of Puritanism, with all its forefixed concatenation of misdeeds and punishments, had served me out properly.;Appending items one at a time is still a better deal than concatenation, which reallocates every time."
"conceive","VERB. To have a child; to become pregnant (with).，To develop; to form in the mind; to imagine.，To imagine (as); to have a conception of; to form a representation of.，To understand (someone).","/kənˈsiːv/","✗","Assisted procreation can help those trying to conceive.;Can you conceive of him as a leader?;for that is the fume of those, that conceive the celestial bodies have more accurate influences upon these things below, than indeed they have"
"congest","NOUN. A farmer whose lands do not support him adequately. VERB. To hinder or block the passage of something moving, for example a fluid, mixture, traffic, people, etc. (due to an excess of this or due to a partial or complete obstruction), resulting in overfilling or overcrowding.","/kənd‍ʒˈɛst/","✗","For quotations using this term, see Citations:congest.;Too many tinygrams can congest a network connection.;He came by car and arrived in New York in four hours, and sometimes it took five hours to congest."
"congestion","NOUN. The hindrance or blockage of the passage of something, for example a fluid, mixture, traffic, people, etc. (due to an excess of this or due to a partial or complete obstruction), resulting in overfilling or overcrowding.，An excess or accumulation of something","/kənˈdʒestʃən/","✓","network congestion;arterial congestion;venous congestion"
"consecutive","ADJ. following, in succession, without interruption，having some logical sequence NOUN. A sequence of notes or chords that results from repeated shifts in pitch of the same interval.，A linguistic form that implies or describes an event that follows temporally from another.，Consecutive interpretation.","/kənˈsekjətɪv/","✗","DDR4, HBM) have overhead associated with consecutive accesses to the same Bank Group;He follows Frédi Kanouté, who achieved the feat in 2006 and 2007 for Sevilla, in scoring in consecutive Uefa Cup/Europa League finals.;It was his 41st goal for England, making him the country's fifth highest international goalscorer and continued an incredible record of scoring in 15 consecutive World Cup and Euro qualifiers.;What marks the consecutive is its special morphology and syntax indicating the temporal succession of actions."
"contiguous","ADJ. Connected; touching; abutting.，Adjacent; neighboring.，Connecting without a break.","/kənˈtɪɡjuəs/","✗","[…] the usual quietness of the day, with us, was broken in upon by the shout of success from the pursuing boats, followed by vehement respondings from the contiguous ship.;the forty-eight contiguous states;Supposing three such houses to be contiguous to a central one, each separated from the latter by a straight wall."
"coordinate","ADJ. Of the same rank; equal. NOUN. A number representing the position of a point along a line, arc, or similar one-dimensional figure.，Something that is equal to another thing.，Coordinated clothes. VERB. To place in the same order or rank.，To synchronize (activities).，To match (objects, especially clothes).","/kəʊˈɔːdɪneɪt/","✗","two coordinate terms;It can be difficult to coordinate movement of both legs after an operation.;I was playing tennis for the first time, and it was difficult to coordinate."
"counterpart","NOUN. Either of two parts that fit together, or complement one another.，A duplicate of a legal document.，One who or that which resembles another.，One who or that which has corresponding functions or characteristics.，Either half of a flattened fossil when the rock has split along the plane of the fossil. VERB. To counterbalance.","/ˈkaʊntəpɑːt/","✗","If “bi now, gay later” is one side of an offensive, disrespectful coin, the LUG (or “lesbian until graduation”) stereotype is its counterpart.;Mr. Obama never found a generational counterpart among conservatives in Congress like Paul D. Ryan or Eric Cantor; instead, there was a mutual animosity.;And so with his writing, which he proudly said was a perfect counterpart of his life. Accident played a major part in both."
"crook","NOUN. A bend; turn; curve; curvature; a flexure.，A bending of the knee; a genuflection.，A bent or curved part; a curving piece or portion (of anything).，A lock or curl of hair.，A support beam consisting of a post with a cross-beam resting upon it; a bracket or truss consisting of a vertical piece, a horizontal piece, and a strut.，A specialized staff with a semi-circular bend (a ""hook"") at one end used by shepherds to control their herds.，A bishop's standard staff of office.，An artifice; a trick; a contrivance.，A person who steals, lies, cheats or does other dishonest or illegal things; a criminal.，A pothook.，A small tube, usually curved, applied to a trumpet, horn, etc., to change its pitch or key. VERB. To bend, or form into a hook.，To become bent or hooked.，To turn from the path of rectitude; to pervert; to misapply; to twist. ADJ. Bad, unsatisfactory, not up to standard.，Ill, sick.，Annoyed, angry; upset. PROPN. A town in County Durham, England.，A village in South Lakeland district, Cumbria, England.，A statutory town in Logan County, Colorado, United States, named after George Crook，An unincorporated community in Osage County, Missouri, United States, so named because of a local merchant's business practices (thus being derived from crook (thief)).，A surname.","/krʊk/","✗","She held the baby in the crook of her arm.;the crook of a cane;Even though I walk through a / valley dark as death / I fear no evil, for thou art with me, / thy staff and thy crook are my / comfort."
"cyan","NOUN. A vibrant pale greenish-blue colour between blue and green in the visible spectrum; the complementary colour of red; the colour obtained by subtracting red from white light. ADJ. Of the colour cyan.","/ˈsaɪæn/","✗","cyan (additive secondary):;cyan (subtractive primary):;By adding and subtracting the three primaries, cyan, yellow, and magenta are produced. These are called subtractive primaries."
"degrade","VERB. To lower in value or social position.，To reduce in quality or purity.，To reduce in altitude or magnitude, as hills and mountains; to wear down.","/dɪˈɡreɪd/","✓","When executing bone scan protocols, it is well for one to be aware of how key deviations from optimal technique can degrade image quality.;As Sallas immediately said, the 130 scabs who so easily replaced the striking printers in '85 won't be foisted upon the union--to degrade it and possibly decertify it.;The Swiftboat strategy aims at hitting the target at his/her perceived area of strength, to discredit and degrade what would have been a political advantage."
"delve","VERB. To dig into the ground, especially with a shovel.，To search thoroughly and carefully for information, research, dig into, penetrate, fathom, trace out，To dig; to excavate. NOUN. A pit or den. PROPN. A surname from Old English.","/delv/","✗","She was intensely eager to delve into the mystery of Mr. Joplin and his brief case.;Let him take off his plates and delve himself, if delving must be done.;I put the clods on top the delve and gave it all a good thumping down with my feet."
"diesel","NOUN. A fuel derived from petroleum (or other oils) but heavier than gasoline/petrol. Used to power diesel engines which burn this fuel using the heat produced when air is compressed.，A vehicle powered by a diesel engine.，A rider who has an even energy output, without bursts of speed.，Synonym of snakebite and black.，A particular cannabis hybrid. VERB. To ignite a substance by using the heat generated by compression.，For a spark-ignition internal combustion engine to continue running after the electrical current to the spark plugs has been turned off. This occurs when there's enough heat in the combustion chamber to ignite the air and fuel mixture without a spark, the same way that heat and pressure cause ignition in a diesel engine.","/ˈdiːzl/","✗","Thumbed a diesel down, outside a cafe.;Bobby thumbed a diesel down, just before it rained.;Yeah MB still does make inline sixes just low volumes (mainly for
Daewoo). Apart from the Diesel engines they build for trucks and buses."
"directive","ADJ. That which directs; serving to direct, indicate, or guide.，Relating to the directive case. NOUN. An instruction or guideline that indicates how to perform an action or reach a goal.，A construct in source code that indicates how it should be processed but is not necessarily part of the program to be run.，An authoritative decision from an official body, which may or may not have binding force.，A form of legislative act addressed to the member states. The directive binds the member state to reach certain objectives in their national legislation.，The directive case.","/dəˈrektɪv/","✗","This door handle must be rotated fully. (the requirement is a directive, necessary to operate the handle);A directive management style is stronger among owners with 'lifestyle' as a business objective than among those with business/economic objectives.;The issue of the directive from the treasury prompted the central bank's most recent issue of currency."
"disband","VERB. To break up or (cause to) cease to exist; to disperse.，To loose the bands of; to set free.，To divorce.","/dɪsˈbænd/","✗","The president wanted to disband the scandal-plagued agency.;Afghanistan: Disarmament programme extendedKabul, October 31, 2007 (IRIN): The government of Afghanistan has extended its programme to disband all illegal armed groups by four years, according to officials.;""How can you disarm and disband an armed group in a rural village where there is no police, no army and no law-enforcing power?"""
