word,translation,phonetic,mastered,sentences
"appropriately","ADV. 適當，得體，恰當，妥善，貼切，適度，得當","/əˈprəʊpriətli/","✗","On the way out of the building I was asked for my autograph. If I'd known who the signature hound thought I was, I would've signed appropriately.;Their fellow diners, like their ketchupped grub, were appropriately dashed and splattered with paint and plaster, reading their Suns and Daily Mirror.;Good will is also secured by plussing the original purchase with another article that goes appropriately with it."
"auspicious","ADJ. 吉祥，祥瑞，吉慶，吉利，祥和，吉，瑞，大好，祥","/ɔːˈspɪʃəs/","✗","This is an auspicious day.;Betwixt two seasons comes th' auspicious air, / This age to blossom, and the next to bear.;The addition of Holiday is especially auspicious because while the team is stacked with great offensive players, it is a little lacking on defense, and he fills that gap."
"azure","NOUN. 天青，天藍色，蔚藍，蔚藍色，湛藍","/ˈæʒə(r)/","✗","In robes of azure.;In Bb [Glover's Roll], the conventional letter B is used to indicate azure in most items.;azure (heraldry):"
"barefaced","ADJ. 露骨","/ˈbeəfeɪst/","✗","But this takes chutzpah (aka barefaced cheek) and flies in the face of received wisdom about what you do, when and how.So be it, I say."
"bluff","NOUN. 虛張聲勢，鈍，詐唬，嚇唬，懸崖，崖，攤牌","/blʌf/","✗","That is only bluff, or a bluff.;John's bet was a bluff: he bet without even so much as a pair.;BLUFF OR POKER [title of a chapter]"
"broom","NOUN. 掃帚，掃把，笤帚，帚，布魯姆，掃","/bruːm/","✗","At the same time, the encroachment of vegetation proceeds apace, and broom and brambles have already made portions of the line impassable, even on foot.;I just got the drop, there is an opp
OFB step with the broom;He got forced to hold that broom, that dickhead reminds me of Cinderella"
"bullet","NOUN. 子彈，顆子彈，槍彈，枚子彈，子彈射，彈，彈頭，槍，劫，彈丸","/ˈbʊlɪt/","✗","John's not going to any of his top schools; he got a bullet from the last of them yesterday.;bullet train; bullet chess;Nakamura is a different animal at 15-minute rapid and five-minute blitz and even more so at one-minute bullet, and in this match he adopted a psychological approach which paid off brilliantly."
"burmese","NOUN. 緬甸，緬","/bɜːˈmiːz/","✗",""
"canvass","VERB. 遊説，排查","/ˈkænvəs/","✗","The one thing considered the brass ring in selling insurance was making a sale on a cold canvass. Cold canvassing was the most dreaded exercise for most insurance salesmen.;Uplong the slipp'ry Masts the Yards ascend, / And stretch'd abroad the Canvass wings extend.;If it changes a lot, wow, its relaxed to canvass."
"carpenter","NOUN. 木匠，匠，賈炳達，卡朋特，木工，卡彭特，卡本特","/ˈkɑːpəntə(r)/","✗","In The Cook and the Carpenter, Arnold used the device of a neuter pronoun ""na,"" instead of assigning gender to the characters.;The village carpenter […] lays out his work by empirical rules learnt in his apprenticeship.;Carpenter now placed himself at silly-point for Grundy, who was playing very forward."
"caveat","NOUN. 警告，告誡","/ˈkæviæt/","✗","There is at least one caveat in cultivation: you’ll have to stick to only one discipline, such as that according to Bhaiṣajyaguru, the Medicine Buddha.;Two young Harvard M.B.A.'s worked up some highly optimistic projections—with the caveat that these were speculative and should of course be tested.;He gave his daughter some hyacinth bulbs with the caveat that she plant them in the shade."
"celestial","NOUN. 天朝，天球，天文 ADJ. 天體，仙界，天上，天國","/səˈlestiəl/","✓","We are now living and obeying celestial laws that will make us candidates for celestial glory.;How will you make it through your teenage years spiritually prepared for your celestial future? How will you connect your celestial goals with your everyday life?;However, with true Celestial pertinacity, `John' has stuck to his work."
"cheekbone","NOUN. 顴骨","/ˈtʃiːkbəʊn/","✓","She wanted to shove a sporf through his eyeball and smash her Victorian slotted across his cheekbone.;He looked at Eve, who smiled broadly, two rougelike puffs of excitement on each apple cheekbone.;Using the correct schemes of its application, you can give the person the ideal outlines: Highlight can be applied to the top of the cheekbone."
"chrome","NOUN. 鉻，鍍鉻，鉻鋼，瀏覽器","/krəʊm/","✓","Disrespect my nigga Boss and I'm flashin' the chrome;I ain't trippin' long 'cause I can reach the chrome / Heat your home like Southern California Gas, police pass;I had the idea of making our browser chrome match the actual hardware you were on. If your Mac’s bezel was Bondi blue, we’d make our UI Bondi blue."
"circumcision","NOUN. 包皮環切，割禮，包皮環切術，割包皮，包皮","/ˌsɜːkəmˈsɪʒn/","✗","After all, Jehovah had instituted the rite of circumcision in which the clipped penis became consecrated to him, […];Circumcision ’s effect on sex is a white-hot issue in the United States for the small but vocal anticircumcision lobby.;But this [ban on circumcision] must have been a provocation, as the emperor Antoninus Pius later acknowledged by excepting the Jews."
"clang","NOUN. 鐺，鏗鏘","/klæŋ/","✗","Hangs is a false word, — a Northern corruption of the negro dialect yang, — an onomatopœian word, representing the ""far heard clang"" of the wild goose.;Bang, bang, Maxwell's silver hammer
Came down upon her head
Clang, clang, Maxwell's silver hammer
Made sure that she was dead;I see the Crusaders' tumultuous armies—hark, how the cymbals clang ..."
"closure","NOUN. 閉包，封閉，關閉，閉合，截流，合龍，封，收尾，倒閉","/ˈkləʊʒə(r)/","✗","7 THEOREM The closure of any set is the union of the set and the set of its accumulation points.;the closure of a door, or of a chink;The closure of Hammersmith Bridge means road traffic has to use Chiswick and Putney Bridges instead."
"coincide","VERB. 重合，一致 NOUN. 相吻合","/ˌkəʊɪnˈsaɪd/","✗","The two squares coincide nicely.;The conference will coincide with his vacation.;Our ideas coincide, except in certain areas."
"commencement","NOUN. 生效日期，生效，畢業典禮，開課，動工，開始，開工","/kəˈmensmənt/","✓","The time of Henry VII nearly coincides with the commencement of what is termed modern history.;Yet from the commencement of mining there have been unnoble proprietors of mines, who belonged to the class of merchants.;Thanksgiving always falls on a Thursday.  Last year, Commencement fell on June 3."
"compensate","VERB. 補償，賠償，彌補，賠，代償，抵消","/ˈkɒmpenseɪt/","✗","It is hard work, but they will compensate you well for it.;His loud voice cannot compensate for a lack of personality.;To compensate me for his tree landing on my shed, my neighbor paved my driveway."
"concatenation","NOUN. 串聯，串連，拼接，級聯","/kənˌkætəˈneɪʃn/","✗","A fundamental operation on strings is string concatenation which we will denote by juxtaposition.;The genius of Puritanism, with all its forefixed concatenation of misdeeds and punishments, had served me out properly.;Appending items one at a time is still a better deal than concatenation, which reallocates every time."
"conceive","VERB. 受孕，設想，懷孕，想象，構思，懷，想像 NOUN. 構想","/kənˈsiːv/","✗","Assisted procreation can help those trying to conceive.;Can you conceive of him as a leader?;for that is the fume of those, that conceive the celestial bodies have more accurate influences upon these things below, than indeed they have"
"congest","X. 使充滿，使擁塞，使充血，充塞，充血，擁擠","/kənd‍ʒˈɛst/","✗","For quotations using this term, see Citations:congest.;Too many tinygrams can congest a network connection.;He came by car and arrived in New York in four hours, and sometimes it took five hours to congest."
"congestion","NOUN. 擁塞，擠塞，擠塞情況，擁堵，充血，擁擠，阻塞，淤血，堵塞，瘀血","/kənˈdʒestʃən/","✗","network congestion;arterial congestion;venous congestion"
"contiguous","ADJ. 鄰接，毗連，連續，相鄰，接壤，相連，毗鄰","/kənˈtɪɡjuəs/","✗","[…] the usual quietness of the day, with us, was broken in upon by the shout of success from the pursuing boats, followed by vehement respondings from the contiguous ship.;the forty-eight contiguous states;Supposing three such houses to be contiguous to a central one, each separated from the latter by a straight wall."
"coordinate","NOUN. 座標，座標系 VERB. 協調，配合，統籌","/kəʊˈɔːdɪneɪt/","✗","two coordinate terms;It can be difficult to coordinate movement of both legs after an operation.;I was playing tennis for the first time, and it was difficult to coordinate."
"counterpart","NOUN. 對口，對應，外長，同行，副本，國防部長","/ˈkaʊntəpɑːt/","✗","If “bi now, gay later” is one side of an offensive, disrespectful coin, the LUG (or “lesbian until graduation”) stereotype is its counterpart.;Mr. Obama never found a generational counterpart among conservatives in Congress like Paul D. Ryan or Eric Cantor; instead, there was a mutual animosity.;And so with his writing, which he proudly said was a perfect counterpart of his life. Accident played a major part in both."
"crook","NOUN. 騙子，壞蛋，克魯克，溪邊，無賴","/krʊk/","✗","She held the baby in the crook of her arm.;the crook of a cane;Even though I walk through a / valley dark as death / I fear no evil, for thou art with me, / thy staff and thy crook are my / comfort."
"cyan","NOUN. 青色，青藍，青","/ˈsaɪæn/","✗","cyan (additive secondary):;cyan (subtractive primary):;By adding and subtracting the three primaries, cyan, yellow, and magenta are produced. These are called subtractive primaries."
"degrade","VERB. 降解，貶低，降低 NOUN. 降級，退化","/dɪˈɡreɪd/","✗","When executing bone scan protocols, it is well for one to be aware of how key deviations from optimal technique can degrade image quality.;As Sallas immediately said, the 130 scabs who so easily replaced the striking printers in '85 won't be foisted upon the union--to degrade it and possibly decertify it.;The Swiftboat strategy aims at hitting the target at his/her perceived area of strength, to discredit and degrade what would have been a political advantage."
"delve","VERB. 鑽研","/delv/","✗","She was intensely eager to delve into the mystery of Mr. Joplin and his brief case.;Let him take off his plates and delve himself, if delving must be done.;I put the clods on top the delve and gave it all a good thumping down with my feet."
"diesel","NOUN. 柴油，柴油機，柴","/ˈdiːzl/","✗","Thumbed a diesel down, outside a cafe.;Bobby thumbed a diesel down, just before it rained.;Yeah MB still does make inline sixes just low volumes (mainly for
Daewoo). Apart from the Diesel engines they build for trucks and buses."
"directive","NOUN. 指導，指令，方向性","/dəˈrektɪv/","✗","This door handle must be rotated fully. (the requirement is a directive, necessary to operate the handle);A directive management style is stronger among owners with 'lifestyle' as a business objective than among those with business/economic objectives.;The issue of the directive from the treasury prompted the central bank's most recent issue of currency."
"disband","VERB. 解散","/dɪsˈbænd/","✗","The president wanted to disband the scandal-plagued agency.;Afghanistan: Disarmament programme extendedKabul, October 31, 2007 (IRIN): The government of Afghanistan has extended its programme to disband all illegal armed groups by four years, according to officials.;""How can you disarm and disband an armed group in a rural village where there is no police, no army and no law-enforcing power?"""
"disciple","NOUN. 弟子，門徒，徒弟，信徒，徒","/dɪˈsaɪpl/","✗","God's disciple and his dearest minion;That I have loved you My most puissant disciple I am the fabric of life and death Humanity has perversed the truth;Ex-King Constantine would be regarded as an apt disciple so long as he succeeded in his purpose of hoodwinking the Allies."
"dissociation","NOUN. 離解，分離，遊離","/dɪˌsəʊsiˈeɪʃn/","✗","the dissociation of the sulphur molecules;the dissociation of ammonium chloride into hydrochloric acid and ammonia;Project MONARCH could be best described as a form of structured dissociation and occultic integration, carried out in order to compartmentalize the mind into multiple personalities within a systematic framework."
"ecstasy","NOUN. 狂喜，搖頭丸，忘我，心醉神迷，入迷，極樂，欣喜若狂，欣喜","/ˈekstəsi/","✗","What! are you dreaming, Son! with Eyes cast upwards / Like a mad Prophet in an Ecstasy?;The instant I drew out my case of instruments, the lady roused herself from her ecstasy, and has never had a similar attack.;In ecstasy the mind is absorbed with some fixed idea, generally of a religious character, and the patient becomes oblivious of surrounding events and objects."
"elapse","NOUN. 推移 VERB. 經過","/ɪˈlæps/","✗","He allowed a month to elapse before beginning the work.;...many years would have to elapse before a sufficient number of cases with presuicide data could be collected.;Post for him for a while: is everything pleased, does not lose weight, does it elapse and sings?"
"explicit","ADJ. 顯式，明確，顯性，露骨，顯，明晰，清晰","/ɪkˈsplɪsɪt/","✗","Coordinate term: simile (when the similarity is made explicit by the words like or as);I gave explicit instructions for him to stay here, but he followed me, anyway.;The film had several scenes including explicit language and sex."
"fabulous","ADJ. 神話般，精彩，難以置信，美妙，棒極，傳説","/ˈfæbjələs/","✗","Your functions in subtitle translation within YouTube are fabulous!!! ;Sunshine ranks high in the island's greates burger debate, while the chicken egg rolls with mango chutney and jerk mayo and fabulous fish tacos elevate pub grub to an art.;They include fresh noodles, roasted chickens, savory Italian tortas, caponata and other antipasti like roasted onions in balsamic vinegar, crusty walnut breads, biscotti, and fabulous Italian desserts.;Our fabulous new crumpets have been selling like a bomb."
"facilitate","VERB. 方便，促進，便於，便利，協助，以便，推動，有利於，助","/fəˈsɪlɪteɪt/","✗","It is said to have been labyrinthed by secret exits and cunning contrivances to facilitate the escape of fugitives from the law.;Early in the year the raws were melted to about 20 Brix in order to facilitate filtration.;In order to facilitate taking by the patient, powders are often ordered to be dispensed in cachets."
"feudal","ADJ. 封建，封建制，封建社會，半封建，封建主義","/ˈfjuːdl/","✗","The three estates of feudal lords, clergy and royal officers met in separate chambers, and exercised an advisory role.;If today’s capitalists are mere lazy rentiers who contribute nothing to the production process, don’t they deserve to be downgraded to the status of feudal landlords?;Was he impressed with the cohesion of the Christians among themselves, and by the contrast thus offered to the fissiparous tendencies of his feudal polity?"
"finalize","VERB. 敲定，定案，定型，完成","/ˈfaɪnəlaɪz/","✗","As soon as we get the plane tickets, we'll finalize our reservations with the hotel.;Select OK on Sensor Setup window to finalize programming.;It remains to finalize all small details and German tank Paten."
"fledge","X. 餵養，用羽毛蓋上，裝上羽毛，長羽毛","/flˈɛd‍ʒ/","✗","But by setting electric fences to protect the chicks from predators in 2021, we were able to confirm 10 chicks fledge from the site.;Puffins roost on the surface of the ocean, and only come on land in order to breed, lay their eggs, incubate them, and raise their chicks until they fledge.;It takes 16 days for chicks to fully fledge, stand on the wing and prepare for independent life."
"floorplan","X. 平[樓]面佈置圖","flˈɔːplən","✓",""
"folklore","NOUN. 民俗學，民間傳説，民俗，民間文學藝術，民間文學，民間故事，傳説","/ˈfəʊklɔː(r)/","✗","A selection of longer items of hacker folklore and humor is included in Appendix A, Hacker Folklore.;It's a piece of old folklore for which I would love to find hard proof.;Cf. Sandman, a mythical character in European folklore who puts people to sleep and encourages and inspires beautiful dreams by sprinkling magical sand onto their eyes."
"foreskin","NOUN. 包皮","/ˈfɔːskɪn/","✓","The female clitoral hood is homologous with the foreskin.;In primates, the foreskin is present in the genitalia of both sexes and likely has been present for millions of years of evolution.;the foreskin is a primary sensory part of the penis, containing some of the most sensitive areas of the penis"
"foul","ADJ. 犯規，污濁，骯髒，臭，罰球，污穢，惡臭","/faʊl/","✗","This cloth is too foul to use as a duster.;His foul hands got dirt all over the kitchen.;The air was so foul nobody could breathe."
"grant","NOUN. 格蘭特，補助金，批予，批出，撥款，批，授權 VERB. 授予，給予，批准","/ɡrɑːnt/","✗","God, grant me the serenity[…];the grant of permission for a project;I got a grant from the government to study archeology in Egypt."
"hatch","NOUN. 艙口，孵化，哈奇，艙門，艙口蓋，艙蓋，艙 VERB. 孵","/hætʃ/","✗","The cook passed the dishes through the serving hatch.;A service hatch with sliding shutter is situated at the end of the kitchen next to the dining compartment.;These pullets are from an April hatch."
"hazard","NOUN. 危害，災害，危險，危險性，風險，隱患，危害性，害","/ˈhæzəd/","✗","He encountered the enemy at the hazard of his reputation and life.;Men are led on from one stage of life to another in a condition of the utmost hazard.;Why, now, blow wind, swell billow, and swim bark! The storm is up and all is on the hazard."
"heinous","ADJ. 令人髮指，十惡不赦，可憎，可恨","/ˈheɪnəs/","✗","I hope they catch the person responsible for that heinous crime.;The perpetrators of this heinous act must be brought to justice.;Perhaps burdened by the weight of history, talk of the heinous 2-2 draw in 2002, or the magnitude of the fixture, Scotland seemed spooked in the early throes."
"heraclitus","X. 赫拉克利特(紀元前五世紀的希臘哲學家)",",herә'klaitәs","✗",""
"hitherto","NOUN. 迄今，迄今為止，在此之前","/ˌhɪðəˈtuː/","✗","The exhaustless conjecturings of that evening's full conversation, made such of the small party, as had hitherto been strangers, well acquainted with each other's turn of mind[…];The history of all hitherto existing society is the history of class struggles.;The results of this study argue for a greater endonormativity in Indian English than has hitherto been recognised."
"hover","NOUN. 懸停，翱翔，徘徊，氣墊，懸浮，縈繞 VERB. 鼠標懸停，盤旋","/ˈhɒvə(r)/","✓","A tooltip appears when you hover over this link.;Without the Chop Chop Chop Chop Cowville seems almost normal: no hover of helicopters, no leap of leopards.;Up on the downs the red-eyed kestrels hover,
Eyeing the grass.
The field mouse flits like a shadow into cover
As their shadows pass."
"implication","NOUN. 意藴，藴涵，含義，涵義，寓意，啓示，含意，意義，內涵，暗示","/ˌɪmplɪˈkeɪʃn/","✗","The implication is that the Gandhian model of growth is possible, now that Nehru's investment strategy had already laid a strong foundation for economic growth.;We use ""coprophagy"" as the simplest available general term to describe ingestion of the feces, without any implication of cause, circumstances, or the origin or nature of fecal material consumed.;Gradually the implication of biblical monotheism created an entailment of singularity and monogamy in sexual relations."
"in line with",". 符合，與...一致","","✗",""
"incognito","NOUN. 隱姓埋名，隱身","/ˌɪnkɒɡˈniːtəʊ/","✗","His keynote speech was delivered on his arrival, incognito, in al-Kufah, which at the time was a focus of Khariji dissidence.;1864,, William Stephens Hayward, Revelations of a Lady Detective, short story ""Incognito"", George Vickers, Strand
I pulled the check-string, and gave him [the coachdriver] his instructions.;But we would submit that it is going much too far to claim that all secularization arises from biblical influences—albethey indirect or incognito in many cases."
"indefinitely","ADV. 無限期，無限期地，無止境，無限，無限制，説不定","/ɪnˈdefɪnətli/","✗","an indefinitely determined fossil;... while the planned hourly fast 'Connect' service from Middlesbrough to Newcastle has been postponed indefinitely due to problems in finding paths for it on the East Coast main line.;Latex paint won't keep indefinitely."
"inference","NOUN. 推理，推斷，推論，推導，推定，論斷","/ˈɪnfərəns/","✗","Spector (2006, 2007) suggests to derive this inference as a scalar implicature.;The Indians, making a hasty inference from a trivial phenomenon, arrived unawares at a probably correct conclusion.;If there be no prospect beyond the grave, the inference is certainly right, ""Let us eat and drink, for to-morrow we die."""
"intact","ADJ. 完好無損，完好，完整，完整無缺，完好無缺，原狀，原封不動，原封，保存完好，完整性","/ɪnˈtækt/","✓","I packed my belongings carefully so that they would survive the move intact.;She hadn't been... molested? No, no, nothing like that. I have examined her. She is quite intact.;an intact bull"
"interdependent","ADJ. 相互依存，相互依賴，互相依存，依存，相互關聯","/ˌɪntədɪˈpendənt/","✗","All life on our planet exists only because we are enmeshed within a complex web of interdependent ecological and social systems.;In the United States, trans-metropolitan areas are referred to as megapolitans, large urban regions with physically interconnected metropolitan and micropolitan areas through transportation networks, constituting a functionally interdependent urban network[…].;The interaction of discourses is dynamic, interdependent, ""interanimate,"" and ""interilluminating."""
"intricacy","NOUN. 複雜性","/ˈɪntrɪkəsi/","✗","the intricacy of a knot;the intricacy of accounts;the intricacy of a cause in controversy"
"ladybug","NOUN. 瓢蟲","/lˈe‍ɪdɪbˌʌɡ/","✗","It was seldom that Mrs. Ladybug hesitated to speak her mind right out to a person if she happened to disapprove of him.;Master class for children - ladybug To create God's cows, we will need the following materials: Cardboard sheet.;Beautifully ladybug will look at a leaflet of green paper."
"leverage","NOUN. 槓桿，槓桿率，槓桿比率，籌碼，影響力，負債 VERB. 利用","/ˈliːvərɪdʒ/","✗","A crowbar uses leverage to pry nails out of wood.;Try using competitors’ prices for leverage in the negotiation.;Leverage is great until something goes wrong with your investments and you still have to pay your debts."
"liability","NOUN. 責任，負債，賠償責任，歸責，債務，義務","/ˌlaɪəˈbɪləti/","✓","For example, a no liability company must include in its name the words “No Liability” or its abbreviation “NL” as a warning to persons dealing with such a company.;You're a bloody liability sometimes!;Coordinate term: liability"
"lobby","NOUN. 大堂，大廳，遊説團體，遊説團，遊説集團，門廳，休息室，門廊 VERB. 遊説","/ˈlɒbi/","✗","I had to wait in the lobby for hours before seeing the doctor.;The influence of the tobacco lobby has decreased considerably in the US.;For years, pro-life groups have continued to lobby hard for restrictions on abortion."
"lotus","NOUN. 蓮花，荷花，蓮，芙蓉，阿蓮，荷，蓮藕，藕，蓮子，荷葉","/ˈləʊtəs/","✗","2007, Tim Speed, Brad Schauf, Dick McCarrick, Lotus Notes Domino 8: Upgrader's Guide:;I told him how much I'd liked my fish course, a black sea bass fillet with pickled lotus root and huitlacoche sauce […];The visit to Pushkar is, however, a little more than the obligatory obeisance done at the site where Brahma carelessly dropped a lotus blossom as he was wondering where to perform a yagnya."
"macaque","NOUN. 獼猴，猴","/məˈkæk/","✗","Other antigen positive tissues common to both the hemorrhagic variola macaque model and the MPXV marmoset models include epithelial, testicular, adrenocortical, and hepatic, as well as endothelial cell immunopositivity.;Additionally, DNA of following species not covered by the assay was tested to exclude cross-reactivity: macaque, budgerigar, pogona, and carp.;Experiments in the macaque show that eye movement speed can be >20% higher when the target is rewarded compared with nonrewarded (Bendiksby and Platt 2006)."
"machete","NOUN. 彎刀，砍刀","/məˈʃeti/","✗","You can't just machete about with a rapier and expect to succeed; you need to thrust properly.;(A normal person with a machete in her tumtum, that is.);Remember that crazy-funny fake trailer for the nonexistent ’70s Mexploitation flick Machete that preceded the “Planet Terror” segment of Grindhouse a few years back?"
"magnify","VERB. 放大，擴大化，誇大 ADV. 氣勢","/ˈmæɡnɪfaɪ/","✗","St. Paul chose to magnify his office when ill men conspired to lessen it.;Our burning-glass also now became a great treasure, as it enabled me to magnify, and so perceive more clearly […].;magnify something a billionfold"
"maniac","NOUN. 瘋子，狂，狂徒，狂人","/ˈmeɪniæk/","✗","She was driving like a maniac.;He's a manga maniac.;She's a maniac, maniac on the floor / And she's dancing like she never danced before"
"markup","NOUN. 標記，漲價，加價，增高","/ˈmɑːkʌp/","✗","You don’t make much money selling gas because the markup is so low.;There will be a markup on those products next week; better buy them now.;For example, a filename of “home.html” would be appropriate for an ASCII/text file containing HTML markup."
"mascara","NOUN. 睫毛膏，睫毛","/mæˈskɑːrə/","✗","apply mascara;put on mascara;mascara runs"
"materialism","NOUN. 唯物主義，唯物論，唯物史觀，唯物，拜金主義","/məˈtɪəriəlɪzəm/","✓","As with Deism and Materialism, the German Rationalism invaded the department of Biblical exegesis.;What is called spiritualism should, I think, be called a mental species of materialism.;[…] is it not melancholy to hear a man like Steffens somniloquise in such a mystifying cant of Hylozoism, of Pickism, a hodge-podge of the grossest materialism, and the most fantastic yet maudlin moonery?"
"monarchy","NOUN. 君主制，君主政體，帝制，君主，王權，王室，皇室，帝王","/ˈmɒnəki/","✗","An absolute monarchy is a monarchy where the monarch is legally the ultimate authority in all temporal matters.;The arms of Upland were a ""golden apple,"" or globe, surrounded with a belt, in allusion to the monarchy.;In ſhort, the Rebellion had been Cruſh'd in the Egg; and One Seaſonable Act of Rigour, had Sav'd the King, the Monarchy, the Church, and the Three Kingdoms."
"negation","NOUN. 否定，否定之否定","/nɪˈɡeɪʃn/","✗","Negation is a unary operation.;You get the negation of a proposition if you insert ""not"" (or some equivalent expression) into it in such a way as to form a contradictory of it.;This negation has sometimes been no less “annihilationist” than classical anti-Semitism, because, at least potentially, it serves to justify the elimination of the State of Israel."
"nuance","NOUN. 細微差別，細微之處，細微","/ˈnjuːɑːns/","✗","Even with the nuance, the vote was a momentous step for a church that has been mired in intrafactional warfare over homosexuality for more than a decade.;If we look at it in this way, the requirement of red-handedness sinks somewhat into the background, and the expression acquires a rather different nuance: furtum manifestum means a clearly-proven theft.;When it came to food, Melissa preferred subtle nuance and lighthanded seasoning."
"parcel","NOUN. 包裹，包裹寄，郵包，地塊，不可或缺","/ˈpɑːsl/","✗","I saw a brown paper parcel on my doorstep.;I own a small parcel of land between the refinery and the fish cannery.;A certain piece of land is part and parcel of another piece."
"part and parcel",". 不可或缺的一部分","","✗",""
"particularity","NOUN. 特殊性，特質","/pəˌtɪkjəˈlærəti/","✗","Donny’s obsession for trains is just a harmless particularity of his.;The one thing left to serve as the cause of its particularity is the fact of its yonderness, i. e., the fact that it has a particular spatial and temporal meaning.;This ""particularity"" is not absolute, and it must be a temporarily ""footing."""
"permeate","VERB. 滲透，滲入","/ˈpɜːmieɪt/","✗","Hence the vapor, so useful in expanding the compressed tissues and enabling the air to permeate and expand the contracted parenchyma in consumption, causes a sensation of great fatigue in asthma.;For Groddeck, the it is given, unknowable, and he does not try to conceptualize drives or forces. Early life and sexuality permeate […];""Pick up your toys"" takes a parental blowhorn to permeate the brain of a young child."
"pessimistic","ADJ. 悲觀，持悲觀，悲觀厭世，悲觀主義，悲觀主義者","/ˌpesɪˈmɪstɪk/","✗","a pessimistic view of the future;a pessimistic estimate;pessimistic concurrency; pessimistic locking"
"plausible","ADJ. 似是而非，可信，合理，花言巧語，有理，合乎情理，似然","/ˈplɔːzəbl/","✗","a plausible excuse;a plausible pretext; plausible manners; a plausible delusion;[…] a coachman named Richard, who was described as a ""sensible, well-behaved yellow boy, who is plausible and can read and write."""
"portal","NOUN. 門户，門户網站，入口，洞口 ADJ. 門，後門","/ˈpɔːtl/","✓","The local library, a portal of knowledge.;The new medical portal has dozens of topical categories containing links to hundreds of sites.;the portal vein"
"postulate","NOUN. 公設，假設","/ˈpɒstʃəleɪt/","✗","[T]he attempt to arrive at a physical explanation of existence led the Ionian thinkers to postulate various primal elements or simply the infinite τὸ ἀπειρον.;Other studies postulate that dogs practice coprophagy in an attempt to conserve digestive enzymes, in particular protelytic enzymes and amylase (McCuistion, 1966).;Some postulate that after a nuclear war, humanity would fall into a state of barbarianism."
"prevalent","ADJ. 普遍，盛行，流行","/ˈprevələnt/","✓","[In] May, there was, at London and in its neighbourhood, a disease very epidemic, though not fatal, which had some time before been very prevalent both in Italy and Germany.;The species I found to be most prevalent on the Spring Green study site were compared with lists of prevalents in compositionally related communities of Wisconsin developed by Curtis (1959).;On average, blues and other dilutes have weaker coats and skin problems seem more prevalent in the dilutes."
